city,state,pop,lat,lon
New York,NY,"8,258,035",40.66,-73.94
Los Angeles,CA,"3,820,914",34.02,-118.4
Chicago,IL,"2,664,452",41.84,-87.68
Houston,TX,"2,314,157",29.79,-95.39
Phoenix,AZ,"1,650,070",33.57,-112.0
Philadelphia,PA,"1,550,542",40.01,-75.13
San Antonio,TX,"1,495,295",29.46,-98.52
San Diego,CA,"1,388,320",32.81,-117.1
Dallas,TX,"1,302,868",32.79,-96.77
Jacksonville,FL,"985,843",30.34,-81.66
Austin,TX,"979,882",30.3,-97.75
Fort Worth,TX,"978,468",32.78,-97.35
San Jose,CA,"969,655",37.3,-121.8
Columbus,OH,"913,175",39.99,-82.99
Charlotte,NC,"911,311",35.21,-80.83
Indianapolis,IN,"879,293",39.78,-86.15
San Francisco,CA,"808,988",37.73,-123.0
Seattle,WA,"755,078",47.62,-122.3
Denver,CO,"716,577",39.76,-104.8
Oklahoma City,OK,"702,767",35.47,-97.51
Nashville,TN,"687,788",36.17,-86.79
Washington,DC,"678,972",38.9,-77.02
El Paso,TX,"678,958",31.85,-106.4
Las Vegas,NV,"660,929",36.23,-115.2
Boston,MA,"653,833",42.34,-71.02
Detroit,MI,"633,218",42.38,-83.1
Portland,OR,"630,498",45.54,-122.6
Louisville,KY,"622,981",38.17,-85.65
Memphis,TN,"618,639",35.11,-89.97
Baltimore,MD,"565,239",39.3,-76.61
Milwaukee,WI,"561,385",43.06,-87.97
Albuquerque,NM,"560,274",35.1,-106.6
Tucson,AZ,"547,239",32.15,-110.8
Fresno,CA,"545,716",36.78,-119.7
Sacramento,CA,"526,384",38.57,-121.4
Mesa,AZ,"511,648",33.4,-111.7
Atlanta,GA,"510,823",33.76,-84.42
Kansas City,MO,"510,704",39.12,-94.56
Colorado Springs,CO,"488,664",38.87,-104.7
Omaha,NE,"483,335",41.26,-96.05
Raleigh,NC,"482,295",35.83,-78.64
Miami,FL,"455,924",25.78,-80.21
Virginia Beach,VA,"453,649",36.78,-76.03
Long Beach,CA,"449,468",33.78,-118.1
Oakland,CA,"436,504",37.77,-122.2
Minneapolis,MN,"425,115",44.96,-93.27
Bakersfield,CA,"413,381",35.35,-119.0
Tulsa,OK,"411,894",36.13,-95.9
Tampa,FL,"403,364",27.97,-82.47
Arlington,TX,"398,431",32.7,-97.12
Wichita,KS,"396,119",37.69,-97.35
Aurora,CO,"395,052",39.7,-104.7
New Orleans,LA,"364,136",30.05,-89.93
Cleveland,OH,"362,656",41.48,-81.68
Honolulu,HI,"341,778",21.32,-157.8
Anaheim,CA,"340,512",33.86,-117.7
Henderson,NV,"337,305",36.01,-115.0
Orlando,FL,"320,742",28.41,-81.25
Lexington,KY,"320,154",38.04,-84.46
Stockton,CA,"319,543",37.98,-121.3
Riverside,CA,"318,858",33.94,-117.3
Corpus Christi,TX,"316,595",27.75,-97.17
Irvine,CA,"314,621",33.68,-117.7
Cincinnati,OH,"311,097",39.14,-84.51
Santa Ana,CA,"310,539",33.74,-117.8
Newark,NJ,"304,960",40.72,-74.17
Saint Paul,MN,"303,820",44.95,-93.1
Pittsburgh,PA,"303,255",40.44,-79.98
Greensboro,NC,"302,296",36.1,-79.83
Durham,NC,"296,186",35.98,-78.9
Lincoln,NE,"294,757",40.81,-96.68
Jersey City,NJ,"291,657",40.71,-74.06
Plano,TX,"290,190",33.05,-96.75
Anchorage,AK,"286,075",61.17,-149.2
North Las Vegas,NV,"284,771",36.28,-115.0
St. Louis,MO,"281,754",38.64,-90.24
Madison,WI,"280,305",43.09,-89.43
Chandler,AZ,"280,167",33.28,-111.8
Gilbert,AZ,"275,411",33.31,-111.7
Reno,NV,"274,915",39.55,-119.8
Buffalo,NY,"274,678",42.89,-78.86
Chula Vista,CA,"274,333",32.63,-117.0
Fort Wayne,IN,"269,994",41.09,-85.14
